time	ecart_critique	solde_stabilisant	solde_effectif	dette_maa
2003-07-01	0.011982433042901815	-0.01752876004926888	-0.04088	0.6537869398925408
2003-10-01	0.014458176434679296	-0.017082611739676675	-0.04088	0.6526426055482007
2004-01-01	0.013259081449436966	-0.018847574404862226	-0.03555	0.6593786900408349
2004-04-01	0.015456563797437387	-0.02258273073310602	-0.03555	0.6726967996597356
2004-07-01	0.013947852276912885	-0.024139814714594643	-0.03555	0.6697893250460487
2004-10-01	0.01225325944820476	-0.025956240783417173	-0.03555	0.6699948848138036
2005-01-01	0.01026006622445965	-0.02536734564642058	-0.035070000000000004	0.6776049684787253
2005-04-01	0.008164901880906628	-0.024664493271522665	-0.035070000000000004	0.6823154548016015
2005-07-01	0.007382212906286607	-0.025964926976690724	-0.035070000000000004	0.6785529099193767
2005-10-01	0.009715447579857275	-0.025145103524374695	-0.035070000000000004	0.6824661024795416
2006-01-01	0.011822249585889157	-0.0265082110943005	-0.02658	0.6803829380116143
2006-04-01	0.018755243239589388	-0.028340567365408697	-0.02658	0.670128879044039
2006-07-01	0.018689502469914153	-0.028946877542497217	-0.02658	0.6685953034535235
2006-10-01	0.01806907919716822	-0.030487960308316436	-0.02658	0.6532591533657482
2007-01-01	0.02143219820754297	-0.030927516071617346	-0.029900000000000003	0.6646471788945013
2007-04-01	0.024985254572043647	-0.0308604018611551	-0.029900000000000003	0.6741529159910274
2007-07-01	0.0257830044559988	-0.03107867743697183	-0.029900000000000003	0.6676221753794707
2007-10-01	0.024546156243125165	-0.030040265840528296	-0.029900000000000003	0.6542994834287789
2008-01-01	0.023464336651671636	-0.02847181018942264	-0.035019999999999996	0.668449061540548
2008-04-01	0.02682124510893983	-0.026557701699252104	-0.035019999999999996	0.6731210768318907
2008-07-01	0.025558589980625934	-0.022557059074583632	-0.035019999999999996	0.6785096031219391
2008-10-01	0.017418126964301527	-0.016327622465969683	-0.035019999999999996	0.6984945717610922
2009-01-01	0.011078740786933737	-0.003684989807723143	-0.07378	0.7468294354945026
2009-04-01	0.011609746137951356	0.007872006823256618	-0.07378	0.7984445235202933
2009-07-01	0.0099146423505534	0.018483388429933273	-0.07378	0.8249927361074191
2009-10-01	0.010319344682495742	0.021464261426038713	-0.07378	0.8401070578905631
2010-01-01	0.01511090254389609	0.010582524917339117	-0.07152	0.8592070556992389
2010-04-01	0.023970749120346198	-0.002142232568146468	-0.07152	0.88267180967864
2010-07-01	0.008442641780659524	-0.01648416710761525	-0.07152	0.8640678440544745
2010-10-01	0.01028358797969697	-0.023969630734052765	-0.07152	0.8637209612569342
2011-01-01	0.01651019799144695	-0.027829058520799522	-0.053040000000000004	0.8772256472816083
2011-04-01	0.014765844428041526	-0.029143573150044108	-0.053040000000000004	0.8920570144426873
2011-07-01	0.00624068127511233	-0.027867881900848924	-0.053040000000000004	0.8835238066829568
2011-10-01	0.007760761321247769	-0.02783699339972647	-0.053040000000000004	0.8879652829397711
2012-01-01	0.005712269325455242	-0.02287335878074959	-0.051710000000000006	0.9119156560181455
2012-04-01	0.0017973219903732428	-0.01918585128204241	-0.051710000000000006	0.9261783892993782
2012-07-01	-0.005305648843066061	-0.016914825944792246	-0.051710000000000006	0.9127540353172133
2012-10-01	-0.008470160609211134	-0.0115926768246475	-0.051710000000000006	0.917486112953565
2013-01-01	-0.008967507422335048	-0.011002697489581496	-0.04938	0.9326279427476433
2013-04-01	-0.01236787344646146	-0.013395105509104853	-0.04938	0.9475935168901198
2013-07-01	-0.00947331866743412	-0.013032600603253126	-0.04938	0.9394007062537137
2013-10-01	-0.010815187019237324	-0.015115742857538124	-0.04938	0.9443853582117251
2014-01-01	-0.011690302110953076	-0.015744859898361583	-0.045739999999999996	0.9612979728090537
2014-04-01	-0.015255682873917827	-0.012975024390374313	-0.045739999999999996	0.9680335455129787
