date	pays	taux
1994-09-05	germany	7.397
1994-09-05	italy	NA
1994-09-06	france	NA
1994-09-06	germany	7.452
1994-09-06	italy	NA
1994-09-07	france	NA
1994-09-07	germany	7.476
1994-09-07	italy	NA
1994-09-08	france	NA
1994-09-08	germany	7.432
1994-09-08	italy	NA
1994-09-09	france	NA
1994-09-09	germany	7.58
1994-09-09	italy	NA
1994-09-12	france	NA
1994-09-12	germany	7.542
1994-09-12	italy	NA
1994-09-13	france	NA
1994-09-13	germany	7.51
1994-09-13	italy	NA
1994-09-14	france	NA
1994-09-14	germany	7.6
1994-09-14	italy	NA
1994-09-15	france	NA
1994-09-15	germany	7.497
1994-09-15	italy	NA
1994-09-16	france	NA
1994-09-16	germany	7.551
1994-09-16	italy	NA
1994-09-19	france	NA
1994-09-19	germany	7.634
1994-09-19	italy	NA
1994-09-20	france	NA
1994-09-20	germany	7.704
1994-09-20	italy	NA
1994-09-21	france	NA
1994-09-21	germany	7.685
1994-09-21	italy	NA
1994-09-22	france	NA
1994-09-22	germany	7.594
1994-09-22	italy	NA
1994-09-23	france	NA
1994-09-23	germany	7.573
1994-09-23	italy	NA
1994-09-26	france	NA
1994-09-26	germany	7.59
1994-09-26	italy	NA
1994-09-27	france	NA
1994-09-27	germany	7.579
1994-09-27	italy	NA
1994-09-28	france	NA
1994-09-28	germany	7.481
1994-09-28	italy	NA
1994-09-29	france	NA
1994-09-29	germany	7.534
1994-09-29	italy	NA
1994-09-30	france	NA
1994-09-30	germany	7.571
1994-09-30	italy	NA
1994-10-04	france	NA
1994-10-04	germany	7.719
1994-10-04	italy	NA
1994-10-05	france	NA
1994-10-05	germany	7.794
1994-10-05	italy	NA
1994-10-06	france	NA
1994-10-06	germany	7.749
1994-10-06	italy	NA
1994-10-07	france	NA
1994-10-07	germany	7.719
1994-10-07	italy	NA
1994-10-10	france	NA
1994-10-10	germany	7.614
1994-10-10	italy	NA
1994-10-11	france	NA
1994-10-11	germany	7.548
1994-10-11	italy	NA
1994-10-12	france	NA
1994-10-12	germany	7.556
1994-10-12	italy	NA
1994-10-13	france	NA
1994-10-13	germany	7.398
1994-10-13	italy	NA
1994-10-14	france	NA
1994-10-14	germany	7.402
1994-10-14	italy	NA
1994-10-17	france	NA
1994-10-17	germany	7.325
1994-10-17	italy	NA
1994-10-18	france	NA
1994-10-18	germany	7.331
1994-10-18	italy	NA
1994-10-19	france	NA
1994-10-19	germany	7.407
1994-10-19	italy	NA
1994-10-20	france	NA
1994-10-20	germany	7.439
1994-10-20	italy	NA
1994-10-21	france	NA
1994-10-21	germany	7.496
1994-10-21	italy	NA
1994-10-24	france	NA
1994-10-24	germany	7.559
1994-10-24	italy	NA
1994-10-25	france	NA
1994-10-25	germany	7.677
1994-10-25	italy	NA
1994-10-26	france	NA
1994-10-26	germany	7.677
1994-10-26	italy	NA
1994-10-27	france	NA
1994-10-27	germany	7.609
1994-10-27	italy	NA
1994-10-28	france	NA
1994-10-28	germany	7.57
1994-10-28	italy	NA
1994-10-31	france	NA
1994-10-31	germany	7.638
1994-10-31	italy	NA
1994-11-01	france	NA
1994-11-01	germany	7.636
1994-11-01	italy	NA
1994-11-02	france	NA
1994-11-02	germany	7.68
1994-11-02	italy	NA
1994-11-03	france	NA
1994-11-03	germany	7.641
1994-11-03	italy	NA
1994-11-04	france	NA
1994-11-04	germany	7.605
1994-11-04	italy	NA
1994-11-07	france	NA
1994-11-07	germany	7.646
1994-11-07	italy	NA
1994-11-08	france	NA
1994-11-08	germany	7.598
1994-11-08	italy	NA
1994-11-09	france	NA
1994-11-09	germany	7.527
1994-11-09	italy	NA
1994-11-10	france	NA
1994-11-10	germany	7.471
1994-11-10	italy	NA
1994-11-11	france	NA
1994-11-11	germany	7.486
1994-11-11	italy	NA
1994-11-14	france	NA
1994-11-14	germany	7.444
1994-11-14	italy	NA
1994-11-15	france	NA
1994-11-15	germany	7.412
1994-11-15	italy	NA
1994-11-17	france	NA
1994-11-17	germany	7.535
1994-11-17	italy	NA
1994-11-18	france	NA
1994-11-18	germany	7.526
1994-11-18	italy	NA
1994-11-21	france	NA
1994-11-21	germany	7.487
1994-11-21	italy	NA
1994-11-22	france	NA
1994-11-22	germany	7.445
1994-11-22	italy	NA
1994-11-23	france	NA
1994-11-23	germany	7.354
1994-11-23	italy	NA
1994-11-24	france	NA
1994-11-24	germany	7.296
1994-11-24	italy	NA
1994-11-25	france	NA
1994-11-25	germany	7.278
1994-11-25	italy	NA
1994-11-28	france	NA
1994-11-28	germany	7.312
1994-11-28	italy	NA
1994-11-29	france	NA
1994-11-29	germany	7.374
1994-11-29	italy	NA
1994-11-30	france	NA
1994-11-30	germany	7.307
1994-11-30	italy	NA
1994-12-01	france	NA
1994-12-01	germany	7.324
1994-12-01	italy	NA
1994-12-02	france	NA
1994-12-02	germany	7.291
1994-12-02	italy	NA
1994-12-05	france	NA
1994-12-05	germany	7.331
1994-12-05	italy	NA
1994-12-06	france	NA
1994-12-06	germany	7.329
1994-12-06	italy	NA
1994-12-07	france	NA
1994-12-07	germany	7.39
1994-12-07	italy	NA
1994-12-08	france	NA
1994-12-08	germany	7.401
1994-12-08	italy	NA
1994-12-09	france	NA
1994-12-09	germany	7.397
1994-12-09	italy	NA
1994-12-12	france	NA
1994-12-12	germany	7.461
1994-12-12	italy	NA
1994-12-13	france	NA
1994-12-13	germany	7.499
1994-12-13	italy	NA
1994-12-14	france	NA
1994-12-14	germany	7.499
1994-12-14	italy	NA
1994-12-15	france	NA
1994-12-15	germany	7.489
1994-12-15	italy	NA
1994-12-16	france	NA
1994-12-16	germany	7.475
1994-12-16	italy	NA
1994-12-19	france	NA
1994-12-19	germany	7.507
1994-12-19	italy	NA
1994-12-20	france	NA
1994-12-20	germany	7.513
1994-12-20	italy	NA
1994-12-21	france	NA
1994-12-21	germany	7.505
1994-12-21	italy	NA
1994-12-22	france	NA
1994-12-22	germany	7.489
1994-12-22	italy	NA
1994-12-23	france	NA
1994-12-23	germany	7.503
1994-12-23	italy	NA
1994-12-27	france	NA
1994-12-27	germany	7.471
1994-12-27	italy	NA
1994-12-28	france	NA
1994-12-28	germany	7.509
1994-12-28	italy	NA
1994-12-29	france	NA
1994-12-29	germany	7.653
1994-12-29	italy	NA
1994-12-30	france	NA
1994-12-30	germany	7.597
1994-12-30	italy	NA
1995-01-02	france	NA
1995-01-02	germany	7.643
1995-01-02	italy	12.432
1995-01-03	france	8.352
1995-01-03	germany	7.921
1995-01-03	italy	12.38
1995-01-04	france	8.339
1995-01-04	germany	7.671
1995-01-04	italy	12.339
1995-01-05	france	8.411
1995-01-05	germany	7.774
1995-01-05	italy	12.396
1995-01-06	france	8.328
1995-01-06	germany	7.7
1995-01-06	italy	12.41
1995-01-09	france	8.344
1995-01-09	germany	7.736
1995-01-09	italy	12.532
1995-01-10	france	8.288
1995-01-10	germany	7.612
1995-01-10	italy	12.692
1995-01-11	france	8.297
1995-01-11	germany	7.621
1995-01-11	italy	12.54
1995-01-12	france	8.262
1995-01-12	germany	7.576
1995-01-12	italy	12.539
1995-01-13	france	8.192
1995-01-13	germany	7.508
1995-01-13	italy	12.524
1995-01-16	france	8.182
1995-01-16	germany	7.524
1995-01-16	italy	12.218
1995-01-17	france	8.202
1995-01-17	germany	7.565
1995-01-17	italy	12.232
1995-01-18	france	8.132
1995-01-18	germany	7.515
1995-01-18	italy	12.366
1995-01-19	france	8.169
1995-01-19	germany	7.518
1995-01-19	italy	12.255
1995-01-20	france	8.183
1995-01-20	germany	7.528
1995-01-20	italy	12.341
1995-01-23	france	8.254
1995-01-23	germany	7.588
1995-01-23	italy	12.202
1995-01-24	france	8.208
1995-01-24	germany	7.564
1995-01-24	italy	12.235
1995-01-25	france	8.155
1995-01-25	germany	7.529
1995-01-25	italy	12.352
1995-01-26	france	8.091
1995-01-26	germany	7.445
1995-01-26	italy	12.287
1995-01-27	france	8.091
1995-01-27	germany	7.406
1995-01-27	italy	12.281
1995-01-30	france	8.122
1995-01-30	germany	7.434
1995-01-30	italy	12.314
1995-01-31	france	8.116
1995-01-31	germany	7.44
1995-01-31	italy	12.341
1995-02-01	france	8.054
1995-02-01	germany	7.423
1995-02-01	italy	12.317
1995-02-02	france	8.12
1995-02-02	germany	7.454
1995-02-02	italy	12.32
1995-02-03	france	8.055
1995-02-03	germany	7.385
1995-02-03	italy	12.303
1995-02-06	france	8.033
1995-02-06	germany	7.422
1995-02-06	italy	12.186
1995-02-07	france	7.964
1995-02-07	germany	7.352
1995-02-07	italy	12.159
1995-02-08	france	7.959
1995-02-08	germany	7.368
1995-02-08	italy	12.168
1995-02-09	france	7.958
1995-02-09	germany	7.364
1995-02-09	italy	12.183
1995-02-10	france	7.963
1995-02-10	germany	7.407
1995-02-10	italy	12.169
1995-02-13	france	8.026
1995-02-13	germany	7.448
1995-02-13	italy	12.288
1995-02-14	france	8.014
1995-02-14	germany	7.426
1995-02-14	italy	12.293
1995-02-15	france	7.963
1995-02-15	germany	7.363
1995-02-15	italy	12.289
1995-02-16	france	8.003
1995-02-16	germany	7.393
1995-02-16	italy	12.333
1995-02-17	france	7.982
1995-02-17	germany	7.397
1995-02-17	italy	12.389
1995-02-20	france	7.997
1995-02-20	germany	7.404
1995-02-20	italy	12.324
1995-02-21	france	8.067
1995-02-21	germany	7.435
1995-02-21	italy	12.433
1995-02-22	france	8.076
1995-02-22	germany	7.426
1995-02-22	italy	12.617
1995-02-23	france	7.983
1995-02-23	germany	7.356
